,Unnamed: 0,service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
0,273,274,ADMINISTRATIF ET CONSEILS,ADMINISTRATIF ET CONSEILS,ADMINISTRATIF ET CONSEILS,SERVICE DE ADMINISTRATIF ET CONSEILS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ADMINISTRATIF ET CONSEILS,PRIORITAIRE,NON PRIORITAIRE
1,292,293,ADMINISTRATIF ET CONSEILS,AIDE A LA RECUPERATION DE DOCUMENTS IMPORTANTS,AIDE A LA RECUPERATION DE DOCUMENTS IMPORTANTS,SERVICE DE AIDE À LA RECUPERATION DE DOCUMENTS IMPORTANTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE À LA RECUPERATION DE DOCUMENTS IMPORTANTS,PRIORITAIRE,NON PRIORITAIRE
2,282,283,ADMINISTRATIF ET CONSEILS,AIDE A LA REDACTION DE CONTRATS SIMPLES,AIDE A LA REDACTION DE CONTRATS SIMPLES,SERVICE DE AIDE À LA REDACTION DE CONTRATS SIMPLES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE À LA REDACTION DE CONTRATS SIMPLES,PRIORITAIRE,NON PRIORITAIRE
3,277,278,ADMINISTRATIF ET CONSEILS,CLASSEMENT ET ARCHIVAGE DE DOCUMENTS,CLASSEMENT ET ARCHIVAGE DE DOCUMENTS,SERVICE DE CLASSEMENT ET ARCHIVAGE DE DOCUMENTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CLASSEMENT ET ARCHIVAGE DE DOCUMENTS,PRIORITAIRE,NON PRIORITAIRE
4,285,286,ADMINISTRATIF ET CONSEILS,DECLARATION D'IMPOTS,DECLARATION D'IMPOTS,SERVICE DE DECLARATION D'IMPÔTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DECLARATION D'IMPÔTS,PRIORITAIRE,NON PRIORITAIRE
5,276,277,ADMINISTRATIF ET CONSEILS,GESTION DU COURRIER,GESTION DU COURRIER,SERVICE DE GESTION DU COURRIER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DU COURRIER,PRIORITAIRE,NON PRIORITAIRE
6,289,290,ADMINISTRATIF ET CONSEILS,GESTION DE DOCUMENTS,GESTION DE DOCUMENTS,SERVICE DE GESTION DE DOCUMENTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DE DOCUMENTS,PRIORITAIRE,NON PRIORITAIRE
7,123,124,AIDE AUX PERSONNES AGEES OU DEPENDANTES,AIDE POUR LES DEPLACEMENTS INTERIEURS ET EXTERIEURS,AIDE POUR LES DEPLACEMENTS INTERIEURS ET EXTERIEURS,SERVICE DE AIDE POUR LES DEPLACEMENTS INTERIEURS ET EXTERIEURS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE POUR LES DEPLACEMENTS INTERIEURS ET EXTERIEURS,PRIORITAIRE,NON PRIORITAIRE
8,129,130,AIDE AUX PERSONNES AGEES OU DEPENDANTES,AIDE A L'ALIMENTATION,AIDE A L'ALIMENTATION,SERVICE DE AIDE À L'ALIMENTATION PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE À L'ALIMENTATION,PRIORITAIRE,NON PRIORITAIRE
9,130,131,AIDE AUX PERSONNES AGEES OU DEPENDANTES,AIDE A L'HYGIENE PERSONNELLE,AIDE A L'HYGIENE PERSONNELLE,SERVICE DE AIDE À L'HYGIENE PERSONNELLE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE À L'HYGIENE PERSONNELLE,PRIORITAIRE,NON PRIORITAIRE
