service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
4,AUTRES SERVICES,,DEPOUSSIERAGE DES SURFACES,SERVICE DE DEPOUSSIERAGE DES SURFACES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEPOUSSIERAGE DES SURFACES,NON PRIORITAIRE,NON PRIORITAIRE
6,MENAGE ET NETTOYAGE,,DESINFECTION - DERATISATION,SERVICE DE DESINFECTION - DERATISATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DESINFECTION - DERATISATION,PRIORITAIRE,NON PRIORITAIRE
9,AUTRES SERVICES,,ENLEVEMENT DES DEBRIS,SERVICE DE ENLEVEMENT DES DEBRIS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENLEVEMENT DES DEBRIS,NON PRIORITAIRE,NON PRIORITAIRE
11,MENAGE ET NETTOYAGE,,DEPOUSSIERAGE APPROFONDI,SERVICE DE DEPOUSSIERAGE APPROFONDI PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEPOUSSIERAGE APPROFONDI,PRIORITAIRE,NON PRIORITAIRE
12,MENAGE ET NETTOYAGE,,LAVAGE DES CARREAUX,SERVICE DE LAVAGE DES CARREAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN LAVAGE DES CARREAUX,PRIORITAIRE,NON PRIORITAIRE
15,MENAGE ET NETTOYAGE,,LAVAGE A LA MAIN,SERVICE DE LAVAGE A LA MAIN PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN LAVAGE A LA MAIN,PRIORITAIRE,NON PRIORITAIRE
17,AUTRES SERVICES,,PLIAGE ET RANGEMENT,SERVICE DE PLIAGE ET RANGEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLIAGE ET RANGEMENT,NON PRIORITAIRE,NON PRIORITAIRE
21,AUTRES SERVICES,,UTILISATION DE PRODUITS ANTI-TRACES,SERVICE DE UTILISATION DE PRODUITS ANTI-TRACES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN UTILISATION DE PRODUITS ANTI-TRACES,NON PRIORITAIRE,NON PRIORITAIRE
22,AUTRES SERVICES,,PROFESSIONNELS REQUIS,SERVICE DE PROFESSIONNELS REQUIS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PROFESSIONNELS REQUIS,NON PRIORITAIRE,NON PRIORITAIRE
24,AUTRES SERVICES,,TAPISMOQUETTE,SERVICE DE TAPISMOQUETTE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TAPISMOQUETTE,NON PRIORITAIRE,NON PRIORITAIRE
