service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
1,MENAGE ET NETTOYAGE,,MENAGE ET NETTOYAGE,SERVICE DE MENAGE ET NETTOYAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MENAGE ET NETTOYAGE,PRIORITAIRE,PRIORITAIRE
2,MENAGE ET NETTOYAGE,,JE DELEGUE LE MENAGE OU LE NETTOYAGE,SERVICE DE JE DELEGUE LE MENAGE OU LE NETTOYAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE LE MENAGE OU LE NETTOYAGE,PRIORITAIRE,PRIORITAIRE
3,MENAGE ET NETTOYAGE,,NETTOYAGE REGULIER OU DE SAISON,SERVICE DE NETTOYAGE REGULIER OU DE SAISON PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE REGULIER OU DE SAISON,PRIORITAIRE,PRIORITAIRE
5,MENAGE ET NETTOYAGE,,NETTOYAGE DES SOLS ET TAPIS,SERVICE DE NETTOYAGE DES SOLS ET TAPIS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE DES SOLS ET TAPIS,PRIORITAIRE,PRIORITAIRE
7,MENAGE ET NETTOYAGE,,NETTOYAGE DES APPAREILS ELECTROMENAGERS,SERVICE DE NETTOYAGE DES APPAREILS ELECTROMENAGERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE DES APPAREILS ELECTROMENAGERS,PRIORITAIRE,PRIORITAIRE
8,MENAGE ET NETTOYAGE,,NETTOYAGE APRES TRAVAUX,SERVICE DE NETTOYAGE APRES TRAVAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE APRES TRAVAUX,PRIORITAIRE,PRIORITAIRE
10,MENAGE ET NETTOYAGE,,NETTOYAGE DES TRACES DE PEINTURE,SERVICE DE NETTOYAGE DES TRACES DE PEINTURE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE DES TRACES DE PEINTURE,PRIORITAIRE,PRIORITAIRE
13,MENAGE ET NETTOYAGE,,NETTOYAGE DES FENETRES ET CADRES,SERVICE DE NETTOYAGE DES FENETRES ET CADRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE DES FENETRES ET CADRES,PRIORITAIRE,PRIORITAIRE
14,MENAGE ET NETTOYAGE,,REPASSAGE ET LAVAGE DE LINGE,SERVICE DE REPASSAGE ET LAVAGE DE LINGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REPASSAGE ET LAVAGE DE LINGE,PRIORITAIRE,PRIORITAIRE
16,MENAGE ET NETTOYAGE,,LAVAGE A LA MACHINE REPASSAGE,SERVICE DE LAVAGE A LA MACHINE REPASSAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN LAVAGE A LA MACHINE REPASSAGE,PRIORITAIRE,PRIORITAIRE
